country_or_area;year;comm_code;commodity;flow;trade_usd;weight_kg;quantity_name;quantity;category
Afghanistan;2016;010410;Sheep, live;Export;6088;2339;Number of items;51;01_live_animals
Afghanistan;2016;010420;Goats, live;Export;3958;984;Number of items;53;01_live_animals
Afghanistan;2008;010210;Bovine animals, live pure-bred breeding;Import;1026804;272;Number of items;3769;01_live_animals
Albania;2016;010290;Bovine animals, live, except pure-bred breeding;Import;2414533;1114023;Number of items;6853;01_live_animals
Albania;2016;010392;Swine, live except pure-bred breeding > 50 kg;Import;14265937;9484953;Number of items;96040;01_live_animals
Albania;2016;010511;Fowls, live domestic < 185 grams;Import;2671732;254652;Number of items;5629138;01_live_animals
Albania;2016;010511;Fowls, live domestic < 185 grams;Export;87581;5320;Number of items;115180;01_live_animals
Albania;2016;010519;Poultry, live except domestic fowls, < 185 grams;Import;26485;2908;Number of items;64000;01_live_animals
Albania;2016;010591;Fowls, live domestic > 185 grams;Import;2421513;1926850;Number of items;1006990;01_live_animals
Albania;2016;010599;Poultry, live except domestic fowls, > 185 grams;Import;251318;211177;Number of items;205124;01_live_animals
Albania;2016;010600;Animals, live, except farm animals;Export;584025;59521;Number of items;59521;01_live_animals
Albania;2015;010290;Bovine animals, live, except pure-bred breeding;Import;7264642;3519352;Number of items;18641;01_live_animals
Albania;2015;010391;Swine, live except pure-bred breeding < 50 kg;Import;45843;29930;Number of items;795;01_live_animals
Albania;2015;010392;Swine, live except pure-bred breeding > 50 kg;Import;14031292;9439974;Number of items;93222;01_live_animals
Albania;2015;010511;Fowls, live domestic < 185 grams;Import;2357680;264599;Number of items;4995885;01_live_animals
Albania;2015;010519;Poultry, live except domestic fowls, < 185 grams;Import;32327;3843;Number of items;80880;01_live_animals
Albania;2015;010591;Fowls, live domestic > 185 grams;Import;2453360;2133310;Number of items;1169944;01_live_animals
Albania;2015;010599;Poultry, live except domestic fowls, > 185 grams;Import;300813;258566;Number of items;48170912;01_live_animals
Qatar;2005;210320;Tomato ketchup and other tomato sauces;Import;3193501;2875018;Weight in kilograms;2875018;21_miscellaneous_edible_preparations
Qatar;2005;210320;Tomato ketchup and other tomato sauces;Export;3334;6500;Weight in kilograms;6500;21_miscellaneous_edible_preparations
Qatar;2005;210320;Tomato ketchup and other tomato sauces;Re-Export;3334;6500;Weight in kilograms;6500;21_miscellaneous_edible_preparations
Qatar;2005;210330;Mustard flour or meal and prepared mustard;Import;154783;115455;Weight in kilograms;115455;21_miscellaneous_edible_preparations
Qatar;2005;210390;Sauces nes, mixed condiments, mixed seasoning;Import;2925836;1884240;Weight in kilograms;1884240;21_miscellaneous_edible_preparations
Qatar;2005;210390;Sauces nes, mixed condiments, mixed seasoning;Export;160254;117204;Weight in kilograms;117204;21_miscellaneous_edible_preparations
Qatar;2005;210390;Sauces nes, mixed condiments, mixed seasoning;Re-Export;160254;117204;Weight in kilograms;117204;21_miscellaneous_edible_preparations
Qatar;2005;210410;Soups and broths and preparations thereof;Import;2604678;690174;Weight in kilograms;690174;21_miscellaneous_edible_preparations
Qatar;2005;210420;Homogenised composite food preparations;Import;928103;382928;Weight in kilograms;382928;21_miscellaneous_edible_preparations
Qatar;2005;210420;Homogenised composite food preparations;Export;86217;54800;Weight in kilograms;54800;21_miscellaneous_edible_preparations
Qatar;2005;210420;Homogenised composite food preparations;Re-Export;85943;54300;Weight in kilograms;54300;21_miscellaneous_edible_preparations
Qatar;2005;210500;Ice cream and other edible ice;Import;4972297;1840034;Weight in kilograms;1840034;21_miscellaneous_edible_preparations
Qatar;2005;210500;Ice cream and other edible ice;Export;49726;12128;Weight in kilograms;12128;21_miscellaneous_edible_preparations
Qatar;2005;210500;Ice cream and other edible ice;Re-Export;275;50;Weight in kilograms;50;21_miscellaneous_edible_preparations
Qatar;2005;210610;Protein concentrates and textured protein substances;Import;3477328;861783;Weight in kilograms;861783;21_miscellaneous_edible_preparations
Qatar;2005;210610;Protein concentrates and textured protein substances;Export;41683;27274;Weight in kilograms;27274;21_miscellaneous_edible_preparations
Qatar;2005;210610;Protein concentrates and textured protein substances;Re-Export;41683;27274;Weight in kilograms;27274;21_miscellaneous_edible_preparations
Qatar;2005;210690;Food preparations nes;Import;11521180;2737452;Weight in kilograms;2737452;21_miscellaneous_edible_preparations
Qatar;2005;210690;Food preparations nes;Export;175534;97488;Weight in kilograms;97488;21_miscellaneous_edible_preparations
Qatar;2005;210690;Food preparations nes;Re-Export;175534;97488;Weight in kilograms;97488;21_miscellaneous_edible_preparations
Qatar;2004;210110;Coffee extracts, essences, concentrates, preparations;Import;2000307;318531;Weight in kilograms;318531;21_miscellaneous_edible_preparations
Qatar;2004;210110;Coffee extracts, essences, concentrates, preparations;Export;998915;241812;Weight in kilograms;241812;21_miscellaneous_edible_preparations
Qatar;2004;210110;Coffee extracts, essences, concentrates, preparations;Re-Export;685567;87812;Weight in kilograms;87812;21_miscellaneous_edible_preparations
Qatar;2004;210120;Tea and mate extracts, essences and concentrates;Import;75459;24214;Weight in kilograms;24214;21_miscellaneous_edible_preparations
Qatar;2004;210130;Chicory & other coffee substitutes, roasted & product;Import;48076;7891;Weight in kilograms;7891;21_miscellaneous_edible_preparations
Qatar;2004;210210;Yeasts, active;Import;562410;299313;Weight in kilograms;299313;21_miscellaneous_edible_preparations
Qatar;2004;210220;Yeasts, inactive, dead unicellular organisms nes;Import;149997;56666;Weight in kilograms;56666;21_miscellaneous_edible_preparations
Qatar;2004;210220;Yeasts, inactive, dead unicellular organisms nes;Export;361914;146375;Weight in kilograms;146375;21_miscellaneous_edible_preparations
Qatar;2004;210220;Yeasts, inactive, dead unicellular organisms nes;Re-Export;24402;12875;Weight in kilograms;12875;21_miscellaneous_edible_preparations
Qatar;2004;210230;Baking powders, prepared;Import;81894;41749;Weight in kilograms;41749;21_miscellaneous_edible_preparations
Qatar;2004;210230;Baking powders, prepared;Export;78410;96000;Weight in kilograms;96000;21_miscellaneous_edible_preparations
Qatar;2004;210230;Baking powders, prepared;Re-Export;37178;74000;Weight in kilograms;74000;21_miscellaneous_edible_preparations
Qatar;2004;210310;Soya sauce;Import;617255;418957;Weight in kilograms;418957;21_miscellaneous_edible_preparations
Qatar;2004;210310;Soya sauce;Export;6292;1437;Weight in kilograms;1437;21_miscellaneous_edible_preparations
Qatar;2004;210310;Soya sauce;Re-Export;6292;1437;Weight in kilograms;1437;21_miscellaneous_edible_preparations
Qatar;2004;210320;Tomato ketchup and other tomato sauces;Import;1985729;1994159;Weight in kilograms;1994159;21_miscellaneous_edible_preparations
